year_film,year,ceremony,award,nominee,film,winner
1959,1960,17,New Star Of The Year - Actress,Carol Lynley,Blue Denim,False
1959,1960,17,New Star Of The Year - Actress,Yvette Mimieux,Platinum High School,False
1959,1960,17,New Star Of The Year - Actress,Cindy Robbins,This Earth Is Mine,False
1959,1960,17,New Star Of The Year - Actor,James Shigeta,"Crimson Kimono, The",True
1959,1960,17,New Star Of The Year - Actor,Barry Coe,"Private's Affair, A",True
1959,1960,17,New Star Of The Year - Actor,Troy Donahue,"Summer Place, A",True
1959,1960,17,New Star Of The Year - Actor,George Hamilton,"Crime & Punishment, USA",True
1959,1960,17,New Star Of The Year - Actor,Michael Callan,"Flying Fontaines, The",False
1959,1960,17,Actress In A Leading Role - Musical Or Comedy,Marilyn Monroe,Some Like It Hot,True
1959,1960,17,Actress In A Leading Role - Musical Or Comedy,Dorothy Dandridge,Porgy and Bess,False
1959,1960,17,Actress In A Leading Role - Musical Or Comedy,Doris Day,Pillow Talk,False
1959,1960,17,Actress In A Leading Role - Musical Or Comedy,Shirley MacLaine,Ask Any Girl,False
1959,1960,17,Actress In A Leading Role - Musical Or Comedy,Lilli Palmer,But Not For Me,False
1960,1961,18,Best Performance by an Actress in a Motion Picture - Drama,Greer Garson,Sunrise at Campobello,True
1960,1961,18,Best Performance by an Actress in a Motion Picture - Drama,Doris Day,Midnight Lace,False
1960,1961,18,Best Performance by an Actress in a Motion Picture - Drama,Nancy Kwan,The World Of Suzie Wong,False
1960,1961,18,Best Performance by an Actress in a Motion Picture - Drama,Jean Simmons,Elmer Gantry,False
1960,1961,18,Best Performance by an Actress in a Motion Picture - Drama,Elizabeth Taylor,Butterfield 8,False
1960,1961,18,Best Performance by an Actor in a Motion Picture - Drama,Burt Lancaster,Elmer Gantry,True
1960,1961,18,Best Performance by an Actor in a Motion Picture - Drama,Spencer Tracy,Inherit the Wind - 1960,False
1960,1961,18,Best Performance by an Actor in a Motion Picture - Drama,Trevor Howard,Sons and Lovers,False
1960,1961,18,Best Performance by an Actor in a Motion Picture - Drama,Laurence Olivier,Spartacus,False
1960,1961,18,Best Performance by an Actor in a Motion Picture - Drama,Dean Stockwell,Sons and Lovers,False
1960,1961,18,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Jack Lemmon,"Apartment, The",True
1960,1961,18,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Dirk Bogarde,Song Without End ,False
1960,1961,18,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Cantinflas,Pepe,False
1960,1961,18,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Cary Grant,"Grass is Greener, The",False
1960,1961,18,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Bob Hope,"Facts of Life, The",False
1960,1961,18,Best Performance by an Actress in a Supporting Role in any Motion Picture,Janet Leigh,Psycho,True
1960,1961,18,Best Performance by an Actress in a Supporting Role in any Motion Picture,Ina Balin,From The Terrace,False
1960,1961,18,Best Performance by an Actress in a Supporting Role in any Motion Picture,Shirley Jones,Elmer Gantry,False
1960,1961,18,Best Performance by an Actress in a Supporting Role in any Motion Picture,Shirley Knight,"Dark at the Top of the Stairs, The",False
1960,1961,18,Best Performance by an Actress in a Supporting Role in any Motion Picture,Mary Ure,Sons and Lovers,False
1960,1961,18,Best Performance by an Actor in a Supporting Role in any Motion Picture,Sal Mineo,Exodus,True
1960,1961,18,Best Performance by an Actor in a Supporting Role in any Motion Picture,Ray Stricklyn,"Plunderers, The",False
1960,1961,18,Best Performance by an Actor in a Supporting Role in any Motion Picture,Woody Strode,Spartacus,False
1960,1961,18,Best Performance by an Actor in a Supporting Role in any Motion Picture,Peter Ustinov,Spartacus,False
1960,1961,18,Best Performance by an Actor in a Supporting Role in any Motion Picture,Lee Kinsolving,"Dark at the Top of the Stairs, The",False
1960,1961,18,New Star Of The Year - Actress,Ina Balin,From The Terrace,True
1960,1961,18,New Star Of The Year - Actress,Nancy Kwan,The World Of Suzie Wong,True
1960,1961,18,New Star Of The Year - Actress,Hayley Mills,Pollyanna,True
1960,1961,18,New Star Of The Year - Actress,Jill Haworth,Exodus,False
1960,1961,18,New Star Of The Year - Actress,Shirley Knight,"Dark at the Top of the Stairs, The",False
1960,1961,18,New Star Of The Year - Actress,Julie Newmar,"Marriage-Go-Round, The",False
1960,1961,18,New Star Of The Year - Actor,Michael Callan,Because They're Young,True
1960,1961,18,New Star Of The Year - Actor,Mark Damon,House of Usher,True
1960,1961,18,New Star Of The Year - Actor,Brett Halsey,Desire In The Dust,True
1960,1961,18,New Star Of The Year - Actor,Peter Falk,"Murder, Inc.",False
1960,1961,18,New Star Of The Year - Actor,David Janssen,Hell To Eternity,False
1960,1961,18,New Star Of The Year - Actor,Robert Vaughn,"Magnificent Seven, The",False
1960,1961,18,Actress In A Leading Role - Musical Or Comedy,Shirley MacLaine,"Apartment, The",True
1960,1961,18,Actress In A Leading Role - Musical Or Comedy,Lucille Ball,"Facts of Life, The",False
1960,1961,18,Actress In A Leading Role - Musical Or Comedy,Capucine,Song Without End ,False
1960,1961,18,Actress In A Leading Role - Musical Or Comedy,Judy Holliday,Bells Are Ringing,False
1960,1961,18,Actress In A Leading Role - Musical Or Comedy,Sophia Loren,It Started in Naples,False
1961,1962,19,Best Performance by an Actress in a Motion Picture - Drama,Geraldine Page,Summer and Smoke,True
1961,1962,19,Best Performance by an Actress in a Motion Picture - Drama,Leslie Caron,Fanny,False
1961,1962,19,Best Performance by an Actress in a Motion Picture - Drama,Shirley MacLaine,"Children's Hour, The",False
1961,1962,19,Best Performance by an Actress in a Motion Picture - Drama,Claudia McNeil,"Raisin in the Sun, A",False
1961,1962,19,Best Performance by an Actress in a Motion Picture - Drama,Natalie Wood,Splendor in the Grass,False
1961,1962,19,Best Performance by an Actor in a Motion Picture - Drama,Maximilian Schell,Judgment at Nuremberg,True
1961,1962,19,Best Performance by an Actor in a Motion Picture - Drama,Sidney Poitier,"Raisin in the Sun, A",False
1961,1962,19,Best Performance by an Actor in a Motion Picture - Drama,Warren Beatty,Splendor in the Grass,False
1961,1962,19,Best Performance by an Actor in a Motion Picture - Drama,Maurice Chevalier,Fanny,False
1961,1962,19,Best Performance by an Actor in a Motion Picture - Drama,Paul Newman,The Hustler,False
1961,1962,19,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Glenn Ford,Pocketful of Miracles,True
1961,1962,19,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Fred Astaire,"Pleasure of His Company, The",False
1961,1962,19,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Richard Beymer,West Side Story,False
1961,1962,19,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Bob Hope,Bachelor In Paradise,False
1961,1962,19,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Fred MacMurray,"Absent-Minded Professor, The",False
1961,1962,19,Best Performance by an Actress in a Supporting Role in any Motion Picture,Rita Moreno,West Side Story,True
1961,1962,19,Best Performance by an Actress in a Supporting Role in any Motion Picture,Fay Bainter,"Children's Hour, The",False
1961,1962,19,Best Performance by an Actress in a Supporting Role in any Motion Picture,Judy Garland,Judgment at Nuremberg,False
1961,1962,19,Best Performance by an Actress in a Supporting Role in any Motion Picture,Lotte Lenya,The Roman Spring of Mrs. Stone,False
1961,1962,19,Best Performance by an Actress in a Supporting Role in any Motion Picture,Pamela Tiffin,"One, Two, Three",False
1961,1962,19,Best Performance by an Actor in a Supporting Role in any Motion Picture,George Chakiris,West Side Story,True
1961,1962,19,Best Performance by an Actor in a Supporting Role in any Motion Picture,Montgomery Clift,Judgment at Nuremberg,False
1961,1962,19,Best Performance by an Actor in a Supporting Role in any Motion Picture,Jackie Gleason,The Hustler,False
1961,1962,19,Best Performance by an Actor in a Supporting Role in any Motion Picture,Tony Randall,Lover Come Back,False
1961,1962,19,Best Performance by an Actor in a Supporting Role in any Motion Picture,George C. Scott,The Hustler,False
1961,1962,19,New Star Of The Year - Actress,Ann-Margret,Pocketful of Miracles,True
1961,1962,19,New Star Of The Year - Actress,Jane Fonda,Tall Story,True
1961,1962,19,New Star Of The Year - Actress,Christine Kaufmann,Town Without Pity,True
1961,1962,19,New Star Of The Year - Actress,Pamela Tiffin,Summer and Smoke,False
1961,1962,19,New Star Of The Year - Actress,Cordula Trantow,Hitler,False
1961,1962,19,New Star Of The Year - Actor,Warren Beatty,Splendor in the Grass,True
1961,1962,19,New Star Of The Year - Actor,Bobby Darin,Come September,True
1961,1962,19,New Star Of The Year - Actor,George Chakiris,West Side Story,False
1961,1962,19,New Star Of The Year - Actor,George C. Scott,The Hustler,False
1961,1962,19,New Star Of The Year - Actor,Richard Beymer,West Side Story,False
1961,1962,19,Actress In A Leading Role - Musical Or Comedy,Rosalind Russell,A Majority Of One,True
1961,1962,19,Actress In A Leading Role - Musical Or Comedy,Bette Davis,Pocketful of Miracles,False
1961,1962,19,Actress In A Leading Role - Musical Or Comedy,Audrey Hepburn,Breakfast at Tiffany's,False
1961,1962,19,Actress In A Leading Role - Musical Or Comedy,Hayley Mills,"Parent Trap, The",False
1961,1962,19,Actress In A Leading Role - Musical Or Comedy,Miyoshi Umeki,Flower Drum Song,False
1961,1962,19,Actor In A Television Series,John Daly,,True
1961,1962,19,Actor In A Television Series,Bob Newhart,,True
1961,1962,19,Actress In A Television Series,Pauline Frederick,,True
1962,1963,20,Best Performance by an Actress in a Motion Picture - Drama,Geraldine Page,Sweet Bird of Youth,True
1962,1963,20,Best Performance by an Actress in a Motion Picture - Drama,Bette Davis,What Ever Happened To Baby Jane?,False
1962,1963,20,Best Performance by an Actress in a Motion Picture - Drama,Katharine Hepburn,Long Day's Journey Into Night (1962),False
1962,1963,20,Best Performance by an Actress in a Motion Picture - Drama,Glynis Johns,"Chapman Report, The",False
1962,1963,20,Best Performance by an Actress in a Motion Picture - Drama,Melina Mercouri,Phaedra ,False
1962,1963,20,Best Performance by an Actress in a Motion Picture - Drama,Lee Remick,Days of Wine and Roses,False
1962,1963,20,Best Performance by an Actress in a Motion Picture - Drama,Susan Strasberg,Hemingway's Adventures of a Young Man,False
1962,1963,20,Best Performance by an Actress in a Motion Picture - Drama,Shelley Winters,Lolita,False
1962,1963,20,Best Performance by an Actress in a Motion Picture - Drama,Susannah York,Freud,False
1962,1963,20,Best Performance by an Actress in a Motion Picture - Drama,Anne Bancroft,"Miracle Worker, The",False
1962,1963,20,Best Performance by an Actor in a Motion Picture - Drama,Gregory Peck,To Kill A Mockingbird,True
1962,1963,20,Best Performance by an Actor in a Motion Picture - Drama,Bobby Darin,Pressure Point,False
1962,1963,20,Best Performance by an Actor in a Motion Picture - Drama,Jackie Gleason,Gigot,False
1962,1963,20,Best Performance by an Actor in a Motion Picture - Drama,Laurence Harvey,The Wonderful World Of The Brothers Grimm,False
1962,1963,20,Best Performance by an Actor in a Motion Picture - Drama,Burt Lancaster,Birdman of Alcatraz,False
1962,1963,20,Best Performance by an Actor in a Motion Picture - Drama,Jack Lemmon,Days of Wine and Roses,False
1962,1963,20,Best Performance by an Actor in a Motion Picture - Drama,James Mason,Lolita,False
1962,1963,20,Best Performance by an Actor in a Motion Picture - Drama,Paul Newman,Sweet Bird of Youth,False
1962,1963,20,Best Performance by an Actor in a Motion Picture - Drama,Peter O'Toole,Lawrence Of Arabia,False
1962,1963,20,Best Performance by an Actor in a Motion Picture - Drama,Anthony Quinn,Lawrence Of Arabia,False
1962,1963,20,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Marcello Mastroianni,"Divorce, Italian Style",True
1962,1963,20,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Cary Grant,That Touch of Mink,False
1962,1963,20,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Charlton Heston,The Pigeon That Took Rome,False
1962,1963,20,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Karl Malden,Gypsy,False
1962,1963,20,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Robert Preston,Meredith Willson's The Music Man,False
1962,1963,20,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Alberto Sordi,The Best Of Enemies,False
1962,1963,20,Best Performance by an Actor in a Motion Picture - Musical or Comedy,James Stewart,Mr. Hobbs Takes a Vacation,False
1962,1963,20,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Stephen Boyd,Billy Rose's Jumbo,False
1962,1963,20,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Jimmy Durante,Billy Rose's Jumbo,False
1962,1963,20,Best Performance by an Actress in a Supporting Role in any Motion Picture,Angela Lansbury,"Manchurian Candidate, The",True
1962,1963,20,Best Performance by an Actress in a Supporting Role in any Motion Picture,Patty Duke,"Miracle Worker, The",False
1962,1963,20,Best Performance by an Actress in a Supporting Role in any Motion Picture,Hermione Gingold,Meredith Willson's The Music Man,False
1962,1963,20,Best Performance by an Actress in a Supporting Role in any Motion Picture,Shirley Knight,Sweet Bird of Youth,False
1962,1963,20,Best Performance by an Actress in a Supporting Role in any Motion Picture,Susan Kohner,Freud,False
1962,1963,20,Best Performance by an Actress in a Supporting Role in any Motion Picture,Gabriella Pallotta,The Pigeon That Took Rome,False
1962,1963,20,Best Performance by an Actress in a Supporting Role in any Motion Picture,Martha Raye,Billy Rose's Jumbo,False
1962,1963,20,Best Performance by an Actress in a Supporting Role in any Motion Picture,Kaye Stevens,"Interns, The",False
1962,1963,20,Best Performance by an Actress in a Supporting Role in any Motion Picture,Jessica Tandy,Hemingway's Adventures of a Young Man,False
1962,1963,20,Best Performance by an Actress in a Supporting Role in any Motion Picture,Tarita,Mutiny on the Bounty,False
1962,1963,20,Best Performance by an Actor in a Supporting Role in any Motion Picture,Omar Sharif,Lawrence Of Arabia,True
1962,1963,20,Best Performance by an Actor in a Supporting Role in any Motion Picture,Ed Begley,Sweet Bird of Youth,False
1962,1963,20,Best Performance by an Actor in a Supporting Role in any Motion Picture,Victor Buono,What Ever Happened To Baby Jane?,False
1962,1963,20,Best Performance by an Actor in a Supporting Role in any Motion Picture,Harry Guardino,The Pigeon That Took Rome,False
1962,1963,20,Best Performance by an Actor in a Supporting Role in any Motion Picture,Ross Martin,Experiment In Terror,False
1962,1963,20,Best Performance by an Actor in a Supporting Role in any Motion Picture,Paul Newman,Hemingway's Adventures of a Young Man,False
1962,1963,20,Best Performance by an Actor in a Supporting Role in any Motion Picture,Cesar Romero,If a Man Answers,False
